id,name,parent_id,level
主键ID,分类名称,上级问题分类ID,问题分类级别：1一级 2二级
1,APP下载和注册,0,1
2,额度激活咨询,0,1
3,提现申请咨询,0,1
4,贷款还款咨询,0,1
5,费用异议咨询,0,1
6,贷后凭证开具,0,1
7,机票分期,0,1
8,产品活动咨询,0,1
9,其他,0,1
10,催收相关业务,0,1
11,APP下载,1,2
12,更换手机号,1,2
13,关闭营销电话/短信,1,2
14,注册/登录,1,2
15,注销账号,1,2
17,注册/登录页面报错,1,2
18,额度咨询,2,2
19,基本信息填写,2,2
20,联系人信息填写,2,2
21,身份证认证/人脸识别,2,2
22,银行卡绑定,2,2
23,激活失败,2,2
30,放款进度,3,2
31,否认借款,3,2
32,借款失败,3,2
33,取消借款,3,2
34,贷超导流,3,2
35,借款申请页面异常,3,2
38,客服代扣,4,2
40,还款失败/异常,4,2
41,获取线下还款方式,4,2
42,线下转账销账,4,2
44,核实方案/按方案销账(含京东卡/退款),4,2
51,利息,5,2
52,担保费,5,2
53,逾期费,5,2
63,催收联系三方,10,2
66,律所转办,10,2
81,合同开具,6,2
82,结清证明,6,2
83,征信修改,6,2
84,征信咨询,6,2
85,资方消费凭证,6,2
86,发票开具,6,2
96,账单详情,7,2
106,测试进线,9,2
107,核身未过,9,2
108,接挂/无声,9,2
109,其他,9,2
110,合作进线,9,2
111,疑似中介,9,2
112,咨询客服电话,9,2
113,催收短信回电,10,2
114,信息占用,2,2
115,还款语音提醒,4,2
116,账单情况(还款日期/金额/组成),4,2
117,重复还款,4,2
118,核实方案,4,2
119,不支持提前还款,4,2
120,APP还款页面异常,4,2
121,会员卡,5,2
122,御金卡,5,2
123,闪通卡,5,2
124,速通卡Plus,5,2
125,提额卡,5,2
126,至享惠卡,5,2
127,小补贴权益,5,2
128,融资担保服务费,5,2
129,提前结清费,5,2
130,催收爆通讯录,10,2
132,催收高频联系(电话/短信/IVR语音),10,2
133,催收态度问题(恐吓辱骂威胁讥讽),10,2
134,催收异常,10,2
135,三方进线,10,2
136,协商还款(延期/停催/金额),10,2
137,还款,7,2
138,机票退改问题,7,2
139,行程单,7,2
140,保险活动咨询,8,2
141,活动规则咨询,8,2
142,音视频活动咨询,8,2
143,酒店活动咨询,8,2
144,其他活动,8,2
145,扣款失败召回,9,2
146,媒体/警方进线,9,2
298,新提额卡,5,2
299,超级提额卡,5,2
300,飞享会员,5,2
301,仅咨询权益,300,3
302,取消扣款,300,3
303,取消续费,300,3
304,退款,300,3
351,退款进度,300,3
352,其他,300,3
353,仅咨询权益,125,3
354,退费申请,125,3
355,退款进度,125,3
356,其他,125,3
357,仅咨询权益,298,3
358,退费申请,298,3
359,退款进度,298,3
360,其他,298,3
